availability,size,total_sqft,bath,balcony,price
Ready To Move,2 BHK,1080.0,2.0,1.0,54.0
Ready To Move,3 BHK,1645.0,3.0,2.0,100.0
Ready To Move,3 BHK,1760.0,3.0,3.0,176.0
Ready To Move,1 BHK,595.0,1.0,1.0,42.0
Ready To Move,3 Bedroom,1200.0,3.0,1.0,125.0
18-Dec,4 BHK,,4.0,0.0,236.3825
Ready To Move,2 BHK,1410.0,2.0,3.0,67.0
18-Dec,2 BHK,1090.0,2.0,1.0,31.48
Ready To Move,1 Bedroom,540.0,1.0,0.0,30.0
Ready To Move,2 BHK,1300.0,2.0,2.0,60.0
Ready To Move,3 BHK,1890.0,2.0,2.0,85.0
Ready To Move,2 BHK,1254.0,2.0,1.0,53.0
Ready To Move,7 Bedroom,2606.0,4.5,2.0,125.0
Ready To Move,2 BHK,1275.0,2.0,2.0,120.0
Ready To Move,3 BHK,1245.0,2.0,2.0,68.48
Ready To Move,2 BHK,1170.0,2.0,2.0,86.0
18-Apr,2 BHK,1193.0,2.0,1.0,86.0
18-Dec,2 BHK,850.0,2.0,1.0,25.4
Ready To Move,3 BHK,1678.0,3.0,3.0,70.0
Ready To Move,3 BHK,1600.0,3.0,3.0,75.0
Ready To Move,3 BHK,1750.0,3.0,2.0,84.0
18-Nov,2 BHK,1125.0,2.0,2.0,62.0
Ready To Move,4 Bedroom,2200.0,4.0,3.0,235.0
Ready To Move,3 Bedroom,,3.0,1.0,95.0
Ready To Move,3 BHK,2606.0,2.0,0.0,200.0
Ready To Move,2 Bedroom,1200.0,2.0,1.0,120.0
Ready To Move,4 BHK,2606.0,4.5,2.0,236.3825
Ready To Move,27 BHK,2606.0,4.5,0.0,230.0
Ready To Move,4 BHK,2422.0,4.0,2.0,160.0
Ready To Move,2 BHK,1100.0,2.0,1.0,50.0
Ready To Move,2 BHK,882.0,2.0,1.0,30.0
Ready To Move,2 BHK,845.0,2.0,1.0,37.0
Ready To Move,2 BHK,883.0,2.0,1.0,39.0
Ready To Move,1 BHK,,2.0,2.0,48.145
Ready To Move,3 BHK,1595.0,3.0,3.0,88.0
Ready To Move,2 BHK,1280.0,2.0,0.0,85.0
Ready To Move,4 Bedroom,1700.0,2.0,1.0,236.3825
Ready To Move,2 BHK,920.0,2.0,0.0,35.0
Ready To Move,2 BHK,1300.0,2.0,3.0,57.0
Ready To Move,2 BHK,1450.0,1.0,0.0,230.0
Ready To Move,3 BHK,1757.0,3.0,2.0,132.0
Ready To Move,1 BHK,600.0,1.0,1.0,16.5
Ready To Move,4 Bedroom,2400.0,3.0,2.0,142.0
Ready To Move,2 BHK,1240.0,2.0,1.0,44.0
Ready To Move,10 Bedroom,750.0,4.5,2.0,90.0
18-Feb,2 BHK,1330.0,2.0,1.0,93.36
Ready To Move,2 BHK,1062.0,2.0,1.0,42.47
Ready To Move,2 BHK,1078.0,2.0,2.0,45.0
Ready To Move,3 BHK,1460.0,2.0,2.0,72.0
18-Dec,3 Bedroom,1200.0,3.0,2.0,68.5
Ready To Move,1 BHK,1200.0,1.0,1.0,48.0
Ready To Move,3 BHK,912.0,2.0,1.0,39.0
19-Mar,3 BHK,,3.0,1.0,115.0
Ready To Move,5 Bedroom,2400.0,4.5,1.0,236.3825
Ready To Move,4 Bedroom,2028.0,4.0,3.0,162.0
19-Apr,2 BHK,980.0,2.0,1.0,45.47
Ready To Move,2 BHK,1000.0,2.0,2.0,40.0
Ready To Move,2 BHK,1050.0,2.0,1.0,62.0
18-Dec,3 Bedroom,2606.0,3.0,1.0,236.3825
Ready To Move,3 BHK,1875.0,2.0,2.0,150.0
Ready To Move,2 BHK,1065.0,2.0,1.0,42.6
Ready To Move,3 BHK,1800.0,3.0,2.0,180.0
Ready To Move,2 BHK,1163.0,2.0,2.0,98.86
Ready To Move,2 BHK,1098.0,2.0,1.0,72.0
Ready To Move,3 BHK,1725.0,2.0,2.0,100.0
Ready To Move,4 Bedroom,2606.0,4.0,2.0,236.3825
Ready To Move,2 BHK,1128.0,2.0,2.0,75.0
Ready To Move,8 Bedroom,1320.0,4.5,2.0,200.0
Ready To Move,3 BHK,1705.0,3.0,1.0,74.16
Ready To Move,2 BHK,1418.0,2.0,2.0,95.0
Ready To Move,3 Bedroom,1500.0,3.0,1.0,160.0
18-May,2 BHK,812.0,2.0,2.0,55.0
19-Dec,4 BHK,,2.0,2.0,204.0
Ready To Move,2 BHK,1280.0,2.0,2.0,40.0
Ready To Move,2 BHK,1420.0,2.0,2.0,136.0
Ready To Move,11 Bedroom,1200.0,4.5,0.0,170.0
Ready To Move,6 Bedroom,727.0,4.5,2.0,66.0
Ready To Move,4 Bedroom,1200.0,2.0,1.0,150.0
18-May,4 BHK,2606.0,4.0,2.0,207.0
Ready To Move,3 BHK,1722.0,3.0,2.0,95.0
Ready To Move,3 BHK,2606.0,3.0,1.0,236.3825
Immediate Possession,2 BHK,,2.0,2.0,124.0
Ready To Move,3 BHK,1650.0,3.0,3.0,175.0
Ready To Move,2 BHK,840.0,2.0,2.0,27.0
Ready To Move,2 BHK,914.0,2.0,2.0,47.0
19-Mar,3 BHK,1482.0,2.0,2.0,83.73
17-Dec,3 BHK,1724.0,3.0,2.0,127.0
Ready To Move,3 BHK,1670.0,3.0,3.0,91.86
Ready To Move,2 BHK,1184.0,2.0,3.0,53.0
Ready To Move,2 BHK,1200.0,2.0,1.0,55.0
Ready To Move,2 BHK,927.0,2.0,2.0,55.0
Ready To Move,2 BHK,1242.0,2.0,3.0,39.7
18-Aug,3 BHK,1220.0,3.0,1.0,35.23
Ready To Move,3 BHK,1360.0,2.0,1.0,75.0
Ready To Move,4 Bedroom,2606.0,4.0,2.0,236.3825
Ready To Move,2 BHK,1180.0,2.0,2.0,72.0
Ready To Move,3 BHK,1697.0,3.0,2.0,108.0
Ready To Move,2 BHK,550.0,2.0,1.0,26.0
Ready To Move,2 BHK,1225.0,2.0,1.0,57.0
Ready To Move,3 BHK,1690.0,2.0,2.0,55.0
18-Apr,10 Bedroom,1660.0,4.5,2.0,236.3825
Ready To Move,3 BHK,1488.0,3.0,2.0,57.0
Ready To Move,3 BHK,1250.0,2.0,1.0,80.0
Ready To Move,1 BHK,1050.0,1.0,1.0,44.0
21-May,3 BHK,1699.0,3.0,3.0,81.94
Ready To Move,2 BHK,1205.0,2.0,2.0,58.0
Ready To Move,4 Bedroom,712.0,2.0,1.0,67.5
18-Feb,2 BHK,950.0,2.0,3.0,39.0
Ready To Move,2 Bedroom,1200.0,2.0,0.0,70.0
Ready To Move,3 BHK,1476.0,3.0,1.0,120.0
Ready To Move,3 BHK,2160.0,4.0,2.0,172.0
Ready To Move,2 BHK,1296.0,2.0,1.0,75.0
Ready To Move,2 Bedroom,1800.0,1.0,1.0,128.0
Ready To Move,3 BHK,1570.0,3.0,3.0,64.5
Ready To Move,2 BHK,1300.0,2.0,3.0,110.0
Ready To Move,4 BHK,1550.0,2.0,2.0,65.0
Ready To Move,2 BHK,770.0,1.0,1.0,40.0
Ready To Move,3 BHK,1870.0,3.0,2.0,110.0
Ready To Move,3 Bedroom,1650.0,4.0,2.0,160.0
Ready To Move,3 BHK,1429.0,3.0,3.0,86.0
17-Nov,3 BHK,1167.0,2.0,2.0,39.98
18-May,2 BHK,1035.0,2.0,1.0,41.73
Ready To Move,3 BHK,1188.0,2.0,2.0,38.0
Ready To Move,5 Bedroom,1200.0,4.0,2.0,236.3825
Ready To Move,3 Bedroom,,3.0,1.0,76.0
Ready To Move,1 BHK,884.0,2.0,2.0,36.0
19-Dec,2 BHK,1026.0,2.0,1.0,60.87
Ready To Move,7 Bedroom,1400.0,4.5,3.0,200.0
Ready To Move,2 Bedroom,1200.0,2.0,1.0,125.0
18-Dec,4 BHK,2606.0,4.0,3.0,191.0
Ready To Move,2 BHK,975.0,2.0,1.0,58.0
Ready To Move,3 Bedroom,675.0,3.0,2.0,72.5
Ready To Move,4 BHK,1900.0,2.0,1.0,170.0
17-Dec,3 Bedroom,600.0,3.0,1.0,100.0
Ready To Move,2 BHK,1101.0,2.0,2.0,65.5
Ready To Move,3 BHK,1700.0,3.0,3.0,135.0
Ready To Move,4 BHK,2606.0,4.0,2.0,236.3825
Ready To Move,2 BHK,1258.0,2.0,2.0,115.0
Ready To Move,3 BHK,1560.0,3.0,2.0,92.0
Ready To Move,4 BHK,2606.0,4.5,1.0,195.0
Ready To Move,3 BHK,2000.0,3.0,2.0,236.3825
19-Jun,4 BHK,2606.0,4.0,3.0,198.0
20-Jan,3 BHK,1494.0,2.0,2.0,94.55
18-Oct,3 BHK,1482.0,2.0,1.0,87.0
Ready To Move,2 BHK,800.0,2.0,3.0,50.0
Ready To Move,2 BHK,1185.0,2.0,2.0,47.39
Ready To Move,2 BHK,1100.0,2.0,2.0,71.5
Ready To Move,2 Bedroom,1300.0,2.0,0.0,120.0
Ready To Move,2 BHK,1225.0,2.0,2.0,150.0
Ready To Move,3 BHK,1758.0,3.0,2.0,65.0
Ready To Move,2 BHK,1145.0,2.0,2.0,55.0
Ready To Move,2 BHK,1180.0,2.0,2.0,50.0
Ready To Move,2 BHK,1260.0,2.0,2.0,58.0
19-Jun,4 BHK,,2.0,2.0,173.0
Ready To Move,2 BHK,1190.0,2.0,2.0,55.0
Ready To Move,3 BHK,1691.0,3.0,2.0,119.0
18-Dec,4 BHK,2606.0,4.0,3.0,236.3825
Ready To Move,3 BHK,1305.0,3.0,2.0,95.45
18-Apr,3 BHK,2337.0,4.0,3.0,236.3825
Ready To Move,2 Bedroom,1200.0,2.0,2.0,150.0
20-Dec,2 BHK,1206.0,2.0,1.0,217.0
Ready To Move,5 Bedroom,1350.0,4.0,1.0,130.0
Ready To Move,2 BHK,1140.0,2.0,1.0,50.66
Ready To Move,2 BHK,1250.0,2.0,2.0,65.0
Ready To Move,3 Bedroom,600.0,2.0,1.0,60.0
Ready To Move,2 BHK,800.0,2.0,2.0,28.0
Ready To Move,2 BHK,1020.0,2.0,1.0,58.0
Ready To Move,4 Bedroom,2100.0,2.0,1.0,50.0
Ready To Move,2 Bedroom,1350.0,2.0,1.0,80.0
Ready To Move,2 BHK,925.0,2.0,1.0,40.0
Ready To Move,4 Bedroom,1800.0,3.0,1.0,220.0
Ready To Move,3 Bedroom,2000.0,3.0,1.0,100.0
Ready To Move,3 BHK,1510.0,2.0,1.0,75.0
Ready To Move,5 Bedroom,2606.0,4.5,2.0,236.3825
Ready To Move,3 BHK,1614.0,3.0,1.0,110.0
Ready To Move,3 Bedroom,682.0,2.0,1.0,130.0
Ready To Move,2 Bedroom,1200.0,2.0,0.0,95.0
Ready To Move,2 Bedroom,900.0,2.0,0.0,55.0
Ready To Move,4 Bedroom,1632.0,3.0,0.0,145.0
Ready To Move,2 BHK,1041.0,2.0,2.0,65.5
Ready To Move,6 BHK,2606.0,4.5,2.0,236.3825
18-Jul,4 BHK,2606.0,4.5,2.0,236.3825
Ready To Move,3 BHK,1530.0,3.0,2.0,74.5
Ready To Move,3 BHK,1450.0,2.0,2.0,135.0
Ready To Move,2 BHK,1200.0,2.0,2.0,75.0
Ready To Move,4 Bedroom,1200.0,4.0,2.0,130.0
Ready To Move,3 BHK,1508.0,2.0,1.0,110.0
Ready To Move,7 BHK,600.0,4.5,3.0,106.0
Ready To Move,2 BHK,1188.0,2.0,3.0,73.0
18-May,4 BHK,2606.0,4.0,3.0,199.0
Ready To Move,2 BHK,1174.0,2.0,1.0,76.0
19-Dec,3 BHK,1350.0,3.0,1.0,58.99
Ready To Move,3 BHK,1870.0,3.0,3.0,185.0
18-Jun,2 BHK,1072.0,2.0,1.0,25.0
Ready To Move,3 Bedroom,2606.0,2.0,1.0,140.0
18-Nov,2 BHK,726.0,2.0,1.0,31.0
Ready To Move,2 BHK,1345.0,2.0,2.0,106.0
Ready To Move,2 BHK,1200.0,2.0,2.0,45.0
Ready To Move,2 BHK,980.0,2.0,0.0,37.0
Ready To Move,2 BHK,1050.0,2.0,1.0,77.0
Ready To Move,2 BHK,993.0,2.0,1.0,39.71
Ready To Move,3 BHK,1300.0,2.0,2.0,52.0
Ready To Move,3 BHK,1743.0,3.0,2.0,85.0
Ready To Move,4 Bedroom,1204.0,4.0,1.0,125.0
Ready To Move,2 Bedroom,1200.0,2.0,0.0,67.0
Ready To Move,2 BHK,950.0,2.0,2.0,32.5
Ready To Move,1 BHK,640.0,1.0,0.0,55.0
18-Jul,2 BHK,972.0,2.0,1.0,44.0
Ready To Move,3 BHK,1840.0,3.0,3.0,98.0
Ready To Move,2 BHK,1128.0,2.0,1.0,64.0
Ready To Move,2 Bedroom,680.0,2.0,0.0,42.0
Ready To Move,2 Bedroom,2400.0,2.0,1.0,95.0
Ready To Move,2 BHK,1045.0,2.0,2.0,42.0
Ready To Move,2 BHK,955.0,2.0,3.0,53.55
Ready To Move,3 BHK,1360.0,2.0,2.0,54.39
Ready To Move,2 BHK,1150.0,2.0,2.0,63.0
19-Mar,4 Bedroom,2606.0,4.0,3.0,236.3825
18-Oct,2 BHK,1115.0,2.0,2.0,56.87
Ready To Move,2 BHK,920.0,2.0,2.0,46.0
18-Jun,2 BHK,1030.0,2.0,1.0,41.0
Ready To Move,3 BHK,1564.0,3.0,1.0,101.0
Ready To Move,2 BHK,1045.0,2.0,1.0,45.0
Ready To Move,4 Bedroom,1200.0,4.0,1.0,83.0
Ready To Move,2 BHK,1277.0,2.0,2.0,55.0
Ready To Move,3 BHK,2479.13,3.0,1.0,215.0
Ready To Move,3 BHK,1846.0,3.0,2.0,140.0
Ready To Move,2 BHK,1100.0,2.0,0.0,106.0
Ready To Move,3 BHK,1690.0,3.0,2.0,75.0
17-Jul,2 Bedroom,1200.0,3.0,0.0,70.0
Ready To Move,4 Bedroom,2606.0,4.0,0.0,131.0
Ready To Move,3 BHK,1640.0,3.0,3.0,223.0
19-Mar,2 BHK,1068.0,2.0,1.0,40.05
Ready To Move,2 BHK,1135.0,2.0,2.0,58.0
Ready To Move,3 BHK,1925.0,3.0,2.0,120.0
Ready To Move,3 BHK,1615.0,3.0,2.0,60.0
Ready To Move,1 BHK,650.0,1.0,1.0,26.0
Ready To Move,9 Bedroom,1200.0,4.5,3.0,120.0
Ready To Move,2 BHK,1150.0,2.0,3.0,42.0
Ready To Move,6 Bedroom,930.0,4.5,1.0,135.0
18-Mar,3 BHK,1410.0,2.0,2.0,45.12
Ready To Move,3 Bedroom,600.0,2.0,0.0,100.0
18-Apr,3 BHK,2000.0,3.0,3.0,207.0
Ready To Move,3 BHK,1354.0,3.0,1.0,90.0
Ready To Move,2 Bedroom,1050.0,2.0,0.0,110.0
Ready To Move,1 BHK,600.0,1.0,1.0,28.0
Ready To Move,4 Bedroom,1320.0,2.0,1.0,110.0
18-May,3 BHK,1600.0,3.0,2.0,88.0
Ready To Move,4 Bedroom,2606.0,4.5,2.0,225.0
Ready To Move,2 BHK,1000.0,2.0,1.0,36.0
Ready To Move,3 BHK,1130.0,3.0,1.0,38.0
Ready To Move,2 BHK,1238.0,2.0,1.0,67.0
Ready To Move,3 BHK,2204.0,2.0,3.0,236.3825
Ready To Move,8 Bedroom,1200.0,4.5,2.0,110.0
18-Apr,3 BHK,1364.0,2.0,3.0,46.38
Ready To Move,2 BHK,900.0,2.0,1.0,45.0
Ready To Move,3 BHK,1745.0,3.0,2.0,104.0
Ready To Move,2 BHK,1200.0,2.0,1.0,53.33
Ready To Move,2 BHK,1020.0,2.0,1.0,42.83
18-Dec,3 BHK,1650.0,3.0,2.0,118.0
Ready To Move,3 BHK,1550.0,2.0,3.0,70.0
Ready To Move,2 BHK,1440.0,2.0,2.0,60.0
Ready To Move,3 BHK,1329.0,2.0,2.0,45.95
Ready To Move,2 BHK,916.0,2.0,1.0,42.0
Ready To Move,1 BHK,688.0,1.0,2.0,50.0
Ready To Move,3 BHK,1358.0,3.0,3.0,50.0
19-Jul,2 BHK,1331.0,2.0,1.0,107.0
Ready To Move,1 BHK,686.0,1.0,1.0,62.5
Ready To Move,2 BHK,1050.0,2.0,2.0,50.0
Ready To Move,3 BHK,2106.0,3.0,2.0,126.0
18-Jul,3 BHK,1718.0,3.0,2.0,90.2
Ready To Move,3 BHK,1530.0,3.0,2.0,57.0
Ready To Move,2 BHK,1206.0,2.0,2.0,56.0
Ready To Move,2 BHK,1075.0,2.0,3.0,52.0
18-Dec,3 Bedroom,1200.0,3.0,1.0,95.0
18-Dec,3 BHK,1936.0,2.0,2.0,54.21
Ready To Move,4 BHK,2172.65,3.0,3.0,120.0
Ready To Move,3 BHK,1100.0,2.0,2.0,75.0
Ready To Move,3 Bedroom,1260.0,4.5,1.0,185.0
Ready To Move,8 Bedroom,990.0,4.5,0.0,120.0
Ready To Move,3 Bedroom,800.0,2.0,1.0,80.0
Ready To Move,2 BHK,1117.0,2.0,3.0,29.99
Ready To Move,3 BHK,1685.0,2.0,1.0,110.0
Ready To Move,2 BHK,740.0,2.0,1.0,37.0
Ready To Move,4 Bedroom,1080.0,4.0,2.0,236.3825
Ready To Move,4 Bedroom,1500.0,2.0,2.0,93.0
Ready To Move,3 BHK,1800.0,3.0,2.0,115.0
Ready To Move,3 BHK,1700.0,3.0,2.0,130.0
Ready To Move,2 BHK,850.0,2.0,2.0,37.93
Ready To Move,3 BHK,1891.0,3.0,1.0,139.0
Ready To Move,2 BHK,1400.0,1.0,1.0,80.0
Ready To Move,2 BHK,1172.0,2.0,2.0,82.0
18-May,3 BHK,1400.0,2.0,2.0,40.43
Ready To Move,2 BHK,896.0,2.0,1.0,43.75
20-Jun,2 BHK,1180.0,2.0,2.0,65.0
Ready To Move,7 Bedroom,2460.0,4.5,1.0,236.3825
Ready To Move,2 BHK,850.0,2.0,1.0,33.0
19-Oct,1 BHK,530.0,1.0,1.0,18.0
18-Jul,3 BHK,1550.0,3.0,3.0,110.0
19-Dec,3 BHK,1699.0,3.0,3.0,97.0
17-Oct,4 BHK,2025.0,4.0,3.0,109.0
18-Jun,1 BHK,500.0,2.0,2.0,14.0
Ready To Move,1 BHK,500.0,1.0,0.0,20.0
Ready To Move,2 BHK,1146.0,2.0,1.0,38.5
Ready To Move,3 BHK,2475.0,4.0,3.0,236.3825
Ready To Move,2 BHK,1455.0,2.0,1.0,145.0
Ready To Move,2 Bedroom,800.0,1.0,0.0,50.0
Ready To Move,1 BHK,765.0,2.0,2.0,30.0
Ready To Move,3 BHK,1521.0,3.0,1.0,94.99
Ready To Move,3 BHK,1600.0,2.0,2.0,55.0
Ready To Move,3 BHK,2606.0,4.0,2.0,236.3825
Ready To Move,3 BHK,2606.0,4.0,2.0,236.3825
Ready To Move,3 BHK,1765.0,3.0,3.0,105.0
Ready To Move,3 BHK,1980.0,3.0,2.0,88.0
Ready To Move,3 Bedroom,1900.0,3.0,1.0,135.0
Ready To Move,2 BHK,1265.0,2.0,3.0,70.0
Ready To Move,2 BHK,1034.0,2.0,3.0,40.0
Ready To Move,2 BHK,1012.0,2.0,1.0,59.0
Ready To Move,4 Bedroom,2606.0,4.0,1.0,230.0
Ready To Move,3 BHK,1270.0,2.0,2.0,70.0
Ready To Move,2 Bedroom,585.0,1.0,0.0,70.0
Ready To Move,3 BHK,2045.0,4.0,3.0,154.0
Ready To Move,3 BHK,1490.0,2.0,2.0,98.0
Ready To Move,7 Bedroom,2606.0,4.5,1.0,236.3825
Ready To Move,2 BHK,883.0,2.0,1.0,40.0
Ready To Move,1 BHK,671.0,1.0,1.0,36.85
Ready To Move,2 BHK,1156.0,2.0,2.0,32.0
Ready To Move,3 BHK,2017.0,3.0,2.0,125.0
Ready To Move,4 BHK,2606.0,4.5,2.0,235.0
18-Jul,3 BHK,1635.0,3.0,1.0,62.0
Ready To Move,7 Bedroom,2606.0,4.5,2.0,120.0
19-Jul,2 BHK,1296.0,2.0,1.0,89.0
Ready To Move,6 Bedroom,2400.0,4.0,2.0,236.3825
Ready To Move,2 BHK,1139.0,2.0,2.0,62.0
18-Aug,2 BHK,1230.0,3.0,2.0,47.0
Ready To Move,1 BHK,581.91,2.0,1.0,25.0
19-Dec,2 BHK,1245.0,2.0,1.0,86.28
Ready To Move,3 Bedroom,1158.0,2.0,2.0,85.0
Ready To Move,4 BHK,2606.0,4.0,2.0,220.0
Ready To Move,2 BHK,550.0,1.0,1.0,15.0
Ready To Move,1 BHK,360.0,1.0,1.0,26.0
Ready To Move,3 BHK,1350.0,3.0,1.0,55.0
Ready To Move,3 BHK,1670.0,3.0,2.0,120.0
Ready To Move,2 BHK,1307.0,2.0,2.0,51.6
Ready To Move,3 BHK,1050.0,2.0,1.0,57.0
Ready To Move,3 BHK,1703.0,3.0,2.0,101.0
Ready To Move,3 BHK,1210.0,2.0,1.0,58.0
18-Dec,2 BHK,1025.0,2.0,1.0,29.6
Ready To Move,3 BHK,1343.0,2.0,2.0,56.41
Ready To Move,3 BHK,1560.0,3.0,2.0,85.0
17-Aug,2 BHK,925.0,2.0,2.0,51.0
Ready To Move,3 BHK,1420.0,2.0,2.0,75.0
Ready To Move,2 BHK,1415.0,2.0,3.0,110.0
Ready To Move,2 BHK,1210.0,2.0,2.0,60.0
Ready To Move,3 BHK,1852.0,3.0,2.0,160.0
Ready To Move,3 BHK,1250.0,3.0,2.0,50.0
21-Sep,2 BHK,1100.0,2.0,1.0,65.0
Ready To Move,2 BHK,1150.0,2.0,1.0,40.25
20-Dec,2 BHK,1100.0,2.0,1.0,53.35
Ready To Move,2 Bedroom,1350.0,1.0,0.0,100.0
Ready To Move,3 BHK,1546.0,3.0,2.0,99.0
Ready To Move,2 BHK,1424.0,2.0,2.0,90.0
Ready To Move,3 BHK,1398.0,3.0,1.0,68.0
Ready To Move,3 BHK,1650.0,3.0,2.0,200.0
Ready To Move,4 Bedroom,1200.0,4.0,0.0,120.0
Ready To Move,3 BHK,1476.0,3.0,2.0,105.0
Ready To Move,2 Bedroom,500.0,2.0,1.0,70.0
18-Aug,3 BHK,1322.0,2.0,2.0,58.82
Ready To Move,2 Bedroom,432.0,2.0,1.0,40.0
Ready To Move,2 BHK,1100.0,2.0,2.0,55.0
Ready To Move,4 BHK,2606.0,4.5,2.0,236.3825
Ready To Move,3 BHK,1285.0,2.0,2.0,68.0
Ready To Move,2 BHK,1150.0,2.0,2.0,80.0
Ready To Move,3 BHK,1430.0,2.0,2.0,56.0
Ready To Move,3 BHK,1350.0,2.0,2.0,62.0
Ready To Move,3 Bedroom,1350.0,3.0,3.0,195.0
Ready To Move,2 BHK,1185.0,2.0,2.0,65.0
Ready To Move,3 BHK,1760.0,3.0,2.0,67.0
Ready To Move,4 Bedroom,2400.0,4.5,2.0,236.3825
21-Dec,2 BHK,900.0,2.0,1.0,41.0
19-Jul,2 BHK,1297.0,2.0,1.0,105.0
Ready To Move,3 BHK,1840.0,3.0,2.0,155.0
Ready To Move,2 BHK,950.0,2.0,1.0,50.79
Ready To Move,5 Bedroom,1200.0,4.0,1.0,70.0
Ready To Move,2 BHK,950.0,2.0,1.0,52.0
Ready To Move,2 BHK,,2.0,0.0,95.815
18-Jan,3 BHK,1571.0,3.0,2.0,89.0
Ready To Move,2 BHK,1031.0,2.0,1.0,55.0
19-Dec,2 BHK,1485.0,2.0,1.0,90.0
18-Dec,2 BHK,1109.0,2.0,1.0,60.0
Ready To Move,3 BHK,2200.0,3.0,2.0,180.0
18-Apr,1 BHK,950.0,1.0,1.0,50.0
Ready To Move,3 Bedroom,1200.0,2.0,0.0,150.0
Ready To Move,3 BHK,2350.0,3.0,3.0,236.3825
18-Apr,2 BHK,1003.0,2.0,1.0,40.6
Ready To Move,2 Bedroom,1350.0,2.0,1.0,185.0
18-Jun,2 BHK,1080.0,2.0,2.0,37.0
Ready To Move,2 BHK,1255.0,2.0,2.0,73.0
Ready To Move,2 BHK,1250.0,2.0,0.0,60.0
Ready To Move,4 Bedroom,1700.0,4.0,1.0,152.0
Ready To Move,2 BHK,824.0,2.0,0.0,60.0
Ready To Move,3 BHK,1875.0,3.0,1.0,167.0
18-Aug,3 BHK,1320.0,2.0,1.0,38.12
Ready To Move,5 Bedroom,2606.0,4.5,2.0,236.3825
Ready To Move,3 BHK,1330.0,2.0,1.0,47.0
Ready To Move,3 BHK,1220.0,3.0,2.0,56.0
18-Dec,3 BHK,1111.0,3.0,1.0,50.0
Ready To Move,2 BHK,1197.0,2.0,1.0,47.88
Ready To Move,4 BHK,2519.0,4.5,2.0,185.0
18-Aug,3 BHK,1340.0,2.0,1.0,100.0
Ready To Move,4 Bedroom,1450.0,3.0,3.0,132.0
22-Jun,3 BHK,1837.0,3.0,3.0,145.0
Ready To Move,4 Bedroom,1200.0,4.0,2.0,236.3825
Ready To Move,2 BHK,1238.0,2.0,3.0,55.0
Ready To Move,3 BHK,1405.0,2.0,2.0,59.01
Ready To Move,4 BHK,1690.0,3.0,2.0,80.0
Ready To Move,3 BHK,1620.0,2.0,1.0,110.0
Ready To Move,3 BHK,1673.0,3.0,2.0,115.0
Ready To Move,2 Bedroom,1090.0,2.0,0.0,58.0
Ready To Move,2 BHK,1112.0,2.0,2.0,40.0
Ready To Move,3 BHK,1385.0,2.0,2.0,66.65
Ready To Move,2 BHK,545.0,1.0,1.0,27.0
Ready To Move,2 BHK,985.0,2.0,1.0,58.0
20-Dec,1 BHK,,1.0,0.0,36.29
Ready To Move,2 BHK,1080.0,2.0,1.0,37.8
19-Mar,2 BHK,1430.0,2.0,1.0,97.52
Ready To Move,2 BHK,1050.0,2.0,2.0,43.0
Ready To Move,4 Bedroom,2000.0,4.0,1.0,139.0
Ready To Move,4 Bedroom,2606.0,4.0,3.0,190.0
Ready To Move,3 BHK,1533.0,3.0,2.0,115.0
Ready To Move,4 Bedroom,2606.0,3.0,2.0,236.3825
Ready To Move,3 BHK,2606.0,3.0,2.0,236.3825
Ready To Move,3 BHK,1750.0,3.0,2.0,150.0
Ready To Move,2 BHK,1352.0,2.0,2.0,87.5
Ready To Move,3 BHK,1754.0,3.0,2.0,125.0
18-Jul,4 BHK,2606.0,4.5,2.0,236.3825
Ready To Move,4 BHK,2606.0,4.0,2.0,199.0
Ready To Move,3 BHK,1470.0,2.0,1.0,90.0
Ready To Move,4 Bedroom,2400.0,4.5,2.0,236.3825
Ready To Move,2 BHK,1160.0,2.0,1.0,52.0
Ready To Move,2 BHK,1100.0,2.0,2.0,52.0
Ready To Move,2 BHK,1170.0,2.0,2.0,38.0
19-Dec,1 BHK,595.0,1.0,1.0,31.83
Ready To Move,3 BHK,1650.0,3.0,2.0,110.0
Ready To Move,3 BHK,1875.0,2.0,3.0,235.0
Ready To Move,4 BHK,800.0,4.0,1.0,80.0
Ready To Move,3 BHK,1375.0,2.0,3.0,48.06
18-Jun,2 BHK,1235.0,2.0,1.0,46.8
Ready To Move,1 BHK,750.0,1.0,2.0,25.0
Ready To Move,3 BHK,1400.0,3.0,1.0,115.0
Ready To Move,3 BHK,1270.0,2.0,2.0,50.79
18-Dec,2 BHK,1105.0,2.0,1.0,51.0
Ready To Move,3 BHK,1375.0,2.0,3.0,85.0
Ready To Move,4 Bedroom,2168.0,4.0,2.0,95.0
Ready To Move,8 Bedroom,1200.0,4.5,3.0,90.0
Ready To Move,2 BHK,1065.0,2.0,1.0,40.84
Ready To Move,3 Bedroom,2606.0,3.0,0.0,236.3825
Ready To Move,9 Bedroom,2606.0,4.5,2.0,236.3825
Ready To Move,1 BHK,825.0,1.0,1.0,45.0
Ready To Move,2 BHK,1095.0,2.0,0.0,40.0
Ready To Move,3 Bedroom,720.0,3.0,3.0,65.0
18-Jul,3 BHK,1440.0,2.0,2.0,60.33
Ready To Move,2 BHK,870.0,2.0,1.0,39.5
Ready To Move,2 BHK,1195.0,2.0,1.0,84.0
Ready To Move,2 BHK,1200.0,2.0,1.0,49.5
Ready To Move,3 BHK,1530.0,3.0,3.0,61.2
